ticket_id,fine,violation_code,entity,car_make,issue_time,latitude,longitude,total_tickets,officer_badge,amount_paid,location,meter_id,meter_status,rate,date_issued
5568249403,50.0,72,3619470,NISS,10:15 PM,39.975531,-83.003697,0,19.0,50.0,22 RUSSELL ST W,K208,Operational,,2018-03-07
5568414430,30.0,29,3513217,NISS,12:57 PM,39.975521,-83.003529,0,2.0,0.0,100 BLOCK RUSSELL ST W,K208,Operational,,2018-04-18
5568092404,30.0,29,3671927,SUBA,01:12 PM,39.975531,-83.003697,0,2.0,30.0,22 RUSSELL ST W,K208,Operational,,2018-01-09
5568300783,30.0,29,3634166,AUDI,02:33 PM,39.975564,-83.003743,3,16.0,0.0,22 RUSSELL ST W,K208,Operational,,2018-03-22
5568250162,50.0,72,3657674,INFI,12:41 PM,39.975526,-83.003613,0,2.0,65.0,22 RUSSELL ST W,K208,Operational,,2018-03-08
5568163395,30.0,29,3631101,SUBA,11:33 AM,39.966364,-83.003415,0,16.0,30.0,221 FRONT ST N,NI307,Operational,  $.75,2018-02-09
5568150401,30.0,29,3675881,TOYT,02:33 PM,39.966484,-83.003277,0,14.0,45.0,221 FRONT ST N,NI307,Operational,  $.75,2018-02-02
5568265890,30.0,29,3631555,SUBA,10:19 AM,39.971836,-83.005964,0,12.0,30.0,147 ARMSTRONG ST,NG605,Operational,  $.40,2018-03-14
5568301693,30.0,29,3615698,FORD,03:03 PM,39.970928,-83.00546,0,12.0,0.0,147 ARMSTRONG ST,NG605,Operational,  $.40,2018-03-24
5568122051,30.0,29,3673783,KIA,04:45 PM,39.97151,-83.00651,0,19.0,30.0,W/S ARMSTRONG ST,NG605,Operational,  $.40,2018-01-21
5568194593,30.0,29,3678503,FORD,08:29 AM,39.975922,-83.004873,0,10.0,0.0,A/F672 PARK ST@LINCOLN ST W,K385,Operational,,2018-02-18
5568137381,30.0,29,3674876,MERZ,08:15 AM,39.975922,-83.004873,0,10.0,30.0,A/F672 PARK ST@RUSSELL ST W,K385,Operational,,2018-01-28
5568265993,30.0,29,3683026,CHEV,08:31 AM,39.975677,-83.004789,0,12.0,45.0,672 PARK ST,K385,Operational,,2018-03-15
5568262224,30.0,29,3587213,DODG,08:15 PM,39.975917,-83.004789,0,19.0,0.0,W/S PARK ST,K385,Operational,,2018-03-11
5568262235,50.0,72,3587213,DODG,08:17 PM,39.976039,-83.004831,0,19.0,0.0,W/S PARK ST,K385,Operational,,2018-03-11
